ref_compo,aero,desc,lifespan,taux_usure_actuel,cout_composant
C004,A320_2348,Éclairage d'urgence,14898,47.94,2910
C181,B777_2653,Système de gestion de carburant,13620,53.96,4112
C250,A350_5769,Dispositifs de levage (flaps),9456,63.59,3301
C654,A380_6627,Système de divertissement en vol,13584,73.25,7392
C142,B757_3104,Porte cargo,11439,2.77,4885
C349,A330_4265,Équipement de navigation par satellite (GPS),13797,46.08,2344
C664,B777_0569,,8553,4.77,1280
C592,A350_3016,Dispositifs de levage (flaps),11976,45.66,1544
C347,B777_5783,Système de divertissement en vol,13309,43.45,1894
C333,A320_6319,Empennage horizontal,12105,0.0,4601
C630,A320_0930,Siège copilote,8170,29.4,1258
C700,CRJ700_4106,Volet de bord de fuite droit,10583,13.58,3970
C700,A340_2380,Train d'atterrissage principal droit,11218,51.77,6158
C193,B767_2009,,12886,0.0,2421
C530,None_6560,Détecteurs de fumée en cabine,8477,25.78,3682
C391,B767_6488,,14888,19.39,2468
C032,A350_1201,Volet de bord de fuite gauche,12695,12.05,6460
C535,A320_5619,Réacteur droit,9717,0.0,2990
C628,B757_1260,Autopilote,9680,73.54,4618
C581,B757_1459,Porte cargo,13841,73.76,4048
C391,B757_4838,Empennage horizontal,14187,37.45,6186
C680,CRJ700_5312,Réacteur gauche,8859,15.57,2528
C669,CRJ700_4243,Gouvernail de direction,10971,61.63,8035
C001,E170_2939,Siège pilote,8794,72.91,7080
C378,B757_0314,Spoilers,9387,0.0,8571
C351,A340_2060,Détecteurs de fumée en cabine,13256,73.94,8782
C454,E175_0062,Système d'éclairage de piste,13669,50.13,1478
C678,E170_0702,,14001,0.0,1896
C309,A330_4796,Aileron gauche,12925,7.33,4711
C171,A320_3107,Radar météorologique,9199,0.0,6918
C563,A340_1063,,13584,9.96,1405
C529,B757_1459,Capteurs de vitesse du vent,8843,63.29,9033
C329,CRJ900_2743,Train d'atterrissage principal gauche,13718,70.04,6741
C134,A320_2958,Gouvernail de direction,13346,0.0,9413
C097,A350_3371,Système d'éclairage de piste,61454,19.73,4475
C296,A320_0854,Empennage horizontal,10711,64.37,4679
C370,A350_5631,Radar météorologique,12359,20.78,3892
C599,None_1978,Réacteur droit,13025,45.61,7063
C287,A321_2986,,14445,0.0,5862
C010,B757_3104,Capteurs de vitesse du vent,12358,14.17,5960
C047,A350_2985,Volet de bord de fuite gauche,9391,59.76,3624
C406,A350_3371,Système d'extinction d'incendie du moteur,11237,68.77,5198
C046,A340_3352,Porte cargo,14697,13.72,2214
C311,E170_2901,,13003,59.71,6681
C156,B747_4810,Volet de bord de fuite droit,9823,44.13,5533
C174,A380_1802,Antenne radar,10147,0.0,6962
C656,A350_0174,Radar météorologique,12433,27.02,7293
C632,B777_0569,Siège pilote,14200,24.93,8602
C008,A350_2985,Train d'atterrissage principal gauche,9205,45.87,4387
C020,B777_0663,Autopilote,14245,1.89,6386
C677,A330_5802,Train d'atterrissage principal gauche,13307,0.0,5767
C226,CRJ700_6057,Siège copilote,14804,74.1,8038
C419,A350_5354,Train d'atterrissage principal droit,13409,13.37,1020
C286,A340_6183,Système de communication radio,8646,9.74,6815
C098,E170_3104,Gouvernail de direction,8165,0.0,1430
C017,B747_4921,Système de divertissement en vol,8150,48.82,9208
C049,A350_6817,Système d'annonce publique,11171,62.1,9477
C606,B757_5303,,9742,10.25,8546
C269,A380_1802,Systèmes d'oxygène d'urgence pour les passagers,9451,0.0,5662
C111,B747_1574,Système d'éclairage de piste,9031,24.42,3290
C087,B757_3261,Train d'atterrissage principal gauche,11475,69.55,5706
C217,A340_6107,Générateur électrique,13388,12.95,2688
C025,E175_0062,Système d'alerte de proximité au sol (GPWS),8143,53.16,8725
C242,B737_3944,Aileron gauche,11193,0.0,7053
C095,A321_5790,Gouvernail de direction,14958,54.33,3825
C538,A320_2348,Système d'annonce publique,9328,28.85,1692
C511,B737_0682,Antenne radar,11815,38.71,8132
C104,CRJ700_6766,Volet de bord de fuite droit,14430,0.0,6155
C699,A380_1724,Train d'atterrissage avant,11578,55.48,3918
C656,B757_0314,Train d'atterrissage principal droit,11208,0.0,7469
C191,E175_0657,Gouvernail de direction,14768,47.15,9769
C383,CRJ700_6981,Train d'atterrissage principal droit,12120,0.31,1506
C430,B757_1539,Système d'éclairage de piste,8175,0.0,7018
C666,None_1978,Système de conditionnement d'air,11264,4.3,5383
C363,A330_3084,Système d'alerte de proximité au sol (GPWS),12145,73.55,2068
C556,CRJ900_2743,Antenne radar,56353,2.05,8095
C269,E170_3684,Gouvernail de direction,9569,0.0,8951
C213,B757_3261,Système de divertissement en vol,8821,34.06,9153
C215,B777_5783,Réacteur droit,9841,31.47,3926
C521,B777_0052,Système anti-givre,8119,11.3,7252
C639,A350_4306,Capteurs de vitesse du vent,12067,68.52,5972
C521,A350_5715,Système hydraulique principal,10244,0.0,1886
C233,A330_3084,,11241,17.92,1815
C430,None_6560,Train d'atterrissage principal gauche,14181,13.55,4094
C484,A350_4328,Détecteurs de fumée en cabine,12157,16.77,3122
C052,A340_5350,Système de conditionnement d'air,14483,40.24,4984
C637,B757_1459,Éclairage d'urgence,9834,45.35,9709
C388,A321_2986,Système de communication radio,10136,0.0,1293
C217,A380_1724,Générateur électrique,9516,16.29,6668
C638,A330_0250,Siège pilote,13711,61.36,5214
C574,A380_2615,Autopilote,14910,0.0,7577
C406,A340_6797,,13513,37.73,6445
C031,A340_1625,Système de communication radio,9443,59.45,4074
C171,B757_4838,Siège copilote,12799,19.25,6986
C212,B777_1811,Volet de bord de fuite droit,14175,66.62,5089
C138,A350_2113,Porte cargo,8583,0.0,7184
C416,B767_5911,,9946,0.0,3139
C682,CRJ700_3824,Boîte noire (enregistreur de vol),9015,0.0,8088
C478,B777_2261,Volet de bord de fuite gauche,8168,35.01,2646
C683,A320_4610,Système d'extinction d'incendie du moteur,9976,60.88,8431
C110,A320_0854,,9110,56.84,9523
C273,None_0192,Éclairage d'urgence,13606,28.04,3192
C509,E175_6406,Porte cargo,9635,36.88,6378
C065,A320_1300,Systèmes d'oxygène d'urgence pour les passagers,11017,39.15,9655
C670,A340_5040,Ordinateur de bord,11512,44.53,1519
C353,A350_4306,Aileron gauche,8033,32.9,4621
C146,B757_6748,Siège pilote,8883,0.0,3571
C417,E175_6406,Système d'extinction d'incendie du moteur,12798,21.79,8934
C426,A380_1724,Caméra de surveillance externe,8957,41.0,2219
C639,E170_6036,Système d'éclairage de piste,11158,63.78,9388
C559,A350_5568,Porte cargo,12959,71.06,1108
C438,A380_2615,Empennage horizontal,9729,0.0,1380
C017,A320_2958,Détecteurs de fumée en cabine,14705,0.0,9192
C404,A380_5165,Ordinateur de bord,13110,322.49,4837
C184,A321_6202,Porte cargo,11463,11.8,8751
