ref_compo,aero,desc,lifespan,taux_usure_actuel,cout_composant
TRA21-350,A380_3051,Train d'atterrissage avant,9162,14.776299999999999,8599
EMP4-297,E175_5323,Empennage horizontal,12151,21.52365,5866
BOI22-504,B747_1933,Boîte noire (enregistreur de vol),10464,15.233599999999992,9018
DIS15-232,E170_1621,Dispositifs de levage (flaps),10625,20.54875,6211
ORD12-146,E170_1621,Ordinateur de bord,8655,14.073250000000005,5062
EQU23-491,A321_2905,Équipement de navigation par satellite (GPS),11520,23.168,7831
REA1-472,E175_3294,Réacteur droit,8516,10.1734,5790
POR34-379,B767_1817,Porte cargo,9221,17.18415,9719
TRA20-619,E175_0964,Train d'atterrissage principal droit,9605,15.79575,5591
AIL5-450,E170_2289,Aileron gauche,13548,16.220200000000002,1245
VOL17-194,A350_3017,Volet de bord de fuite gauche,14511,21.247649999999986,7607
SIE27-609,B777_1363,Siège copilote,8800,11.29,7261
ANT25-684,CRJ900_5525,Antenne radar,11742,16.9233,9666
AIL5-301,B737_0274,Aileron gauche,70764,88.66860000000005,3018
SYS14-114,A321_0467,Système d'extinction d'incendie du moteur,13036,18.951400000000007,8625
SYS37-641,CRJ900_0468,Système d'éclairage de piste,13104,18.979600000000012,3359
GOU3-401,CRJ900_0468,Gouvernail de direction,11158,20.7717,4918
ECL30-181,CRJ700_1377,Éclairage d'urgence,14783,26.820449999999976,6279
TRA19-353,B737_1878,Train d'atterrissage principal gauche,12167,14.09205,8897
REA1-037,B757_2631,Réacteur droit,14448,25.1052,1428
CAP39-591,A320_4466,Capteurs de vitesse du vent,14430,22.8645,9703
TRA19-255,E175_6229,Train d'atterrissage principal gauche,11757,17.490549999999995,8376
GEN13-128,B757_0577,Générateur électrique,12730,17.6395,5498
CAM38-672,A340_2877,Caméra de surveillance externe,11880,17.932000000000002,2646
SPO16-047,A380_3051,Spoilers,11450,22.347500000000018,6390
TRA20-386,None_0163,Train d'atterrissage principal droit,14066,18.1359,1765
EQU23-384,B767_2723,Équipement de navigation par satellite (GPS),13024,22.61759999999999,7359
TRA21-644,A321_2784,Train d'atterrissage avant,8743,10.824450000000004,9693
EMP4-415,B767_2195,Empennage horizontal,12941,21.24215,3606
SYS35-200,A321_0732,Système d'annonce publique,12877,22.95855000000001,9921
POR34-559,E175_0964,Porte cargo,13742,17.41330000000001,2162
SYS2-462,A320_6364,Système hydraulique principal,13445,24.64174999999998,4301
AIL6-238,CRJ900_0271,Aileron droit,10817,17.25955,9637
DIS32-261,A320_4603,Dispositif d'atterrissage d'urgence (comme les toboggans),12195,15.47425,8587
SYS9-105,A350_4712,Système anti-givre,9441,13.017149999999999,1034
SYS36-223,B737_2584,Système de divertissement en vol,11369,15.154350000000004,5260
TRA20-578,A320_2211,Train d'atterrissage principal droit,8894,13.828099999999992,3002
SYS33-686,A321_4895,Système d'éclairage de cabine,8403,10.793449999999996,3636
RAD11-379,A320_3805,Radar météorologique,12845,20.481750000000005,1769
SYS37-117,A320_6052,Système d'éclairage de piste,12905,22.590750000000018,7157
SYS31-531,E175_4832,Système de conditionnement d'air,12531,15.61065,6341
SYS35-654,E175_1224,Système d'annonce publique,11851,17.528649999999995,5495
SIE27-027,A350_3187,Siège copilote,11673,22.263949999999987,8875
TRA19-386,A330_3674,Train d'atterrissage principal gauche,8317,15.464550000000006,4763
SIE27-252,B747_0175,Siège copilote,11035,12.890250000000004,2890
SYS24-484,A350_1683,Système de communication radio,9276,15.157400000000004,4068
SYS9-087,A340_5178,Système anti-givre,9192,20.520800000000015,4611
SYS9-181,A321_0987,Système anti-givre,10880,20.992,5732
AUT8-420,E175_0099,Autopilote,10365,19.249749999999988,6305
DIS32-371,B747_0195,Dispositif d'atterrissage d'urgence (comme les toboggans),13054,15.0121,7673
GEN13-259,B747_1933,Générateur électrique,8137,13.237550000000004,9759
SPO16-373,A350_1683,Spoilers,14164,16.7886,3228
BOI22-527,B737_6105,Boîte noire (enregistreur de vol),14514,20.2611,6036
ORD12-697,B747_4253,Ordinateur de bord,11992,22.390799999999984,6224
TRA19-662,A330_2838,Train d'atterrissage principal gauche,9717,16.49454999999999,1519
AIL6-005,E175_5515,Aileron droit,9747,17.23905,8780
SPO16-082,B737_0608,Spoilers,11787,15.465049999999996,5521
DET29-611,CRJ900_0468,Détecteurs de fumée en cabine,11958,22.67169999999998,6980
CAP39-024,B737_4082,Capteurs de vitesse du vent,14577,22.333550000000002,6253
TRA20-358,B737_2009,Train d'atterrissage principal droit,8213,17.874950000000002,8046
DET29-035,A320_2211,Détecteurs de fumée en cabine,10329,14.128350000000014,4877
POR34-677,CRJ900_5773,Porte cargo,13240,20.386,2770
ECL30-695,B777_1363,Éclairage d'urgence,13285,19.29775,4689
DIS15-404,B737_0274,Dispositifs de levage (flaps),11926,20.2849,5234
CAM38-327,E175_4487,Caméra de surveillance externe,13785,19.802750000000007,9862
SYS36-259,B737_5678,Système de divertissement en vol,8116,12.573399999999996,1464
AUT8-307,A321_2784,Autopilote,8386,14.8339,1003
DIS15-354,A320_3792,Dispositifs de levage (flaps),9360,13.284,3966
VOL17-498,E170_1384,Volet de bord de fuite gauche,12523,15.24144999999999,8295
SYS14-325,A350_3715,Système d'extinction d'incendie du moteur,12796,16.7254,7671
REA1-149,A330_1563,Réacteur droit,14057,25.50555000000003,9794
GOU3-605,E170_2644,Gouvernail de direction,10148,17.210200000000004,5133
ORD12-043,B737_4082,Ordinateur de bord,11352,16.1748,4844
CAM38-514,E175_0488,Caméra de surveillance externe,13962,17.0063,1558
SYS7-252,B747_4876,Système de gestion de carburant,9869,18.669349999999987,6500
SIE26-577,B777_3467,Siège pilote,10395,21.164249999999985,5452
SIE27-153,None_2407,Siège copilote,10962,14.826299999999996,4568
POR34-017,CRJ700_2827,Porte cargo,12272,15.9228,6008
