ref_deg,linked_aero,compo_concerned,usure_cumulée,measure_day,need_replacement
D006741,A340_3082,TRA19-067,50.22359999999993,2023-12-26,False
D005180,E170_5403,GEN13-342,50.67479999999989,2023-12-26,False
D000150,None_6838,SYS33-090,34.80519999999995,2023-12-26,False
D006282,B767_2187,AIL6-586,46.69480000000008,2023-12-26,False
D001072,A380_4821,REA0-567,45.50759999999991,2023-12-26,False
D005943,E170_0564,SYS35-486,50.41120000000006,2023-12-26,False
D008024,A320_4881,VOL17-046,41.86480000000004,2023-12-26,False
D008341,B737_6105,AUT8-087,42.52000000000006,2023-12-26,False
D005681,B757_2283,SYS37-447,43.58480000000003,2023-12-26,False
D000509,A340_0646,SYS7-462,36.18560000000003,2023-12-26,False
D001537,None_5883,SYS33-528,51.16879999999992,2023-12-26,False
D008224,CRJ900_0271,DET29-609,51.7371999999999,2023-12-26,False
D009742,A380_6060,VOL17-489,55.00640000000013,2023-12-26,False
D007853,CRJ700_2204,CAM38-585,50.07640000000004,2023-12-26,False
D000314,A330_5384,SYS31-348,36.47959999999997,2023-12-26,False
D008471,A350_4712,DIS32-067,53.60999999999993,2023-12-26,False
D004243,A380_5479,DIS32-528,51.166400000000095,2023-12-26,False
D000823,A321_2784,ECL30-278,47.12439999999997,2023-12-26,False
D001464,CRJ900_2888,SYS28-366,38.2796,2023-12-26,False
D008847,None_6838,CAP39-238,41.066,2023-12-26,False
D006483,E170_1341,POR34-445,44.71040000000006,2023-12-26,False
D009556,CRJ900_5255,REA0-481,42.4932,2023-12-26,False
D009042,B737_0842,TRA20-614,38.22559999999999,2023-12-26,False
D003655,B737_2293,SYS24-382,36.97359999999998,2023-12-26,False
D008241,E170_5314,SYS24-214,54.74040000000004,2023-12-26,False
D009060,E175_2361,CAM38-599,51.43919999999997,2023-12-26,False
D006187,CRJ900_5158,GOU3-528,53.8912,2023-12-26,False
D003696,B747_0620,SYS10-265,40.01160000000003,2023-12-26,False
D000473,None_0118,SYS28-124,68.20920000000011,2023-12-26,False
D009364,A380_3051,EQU23-024,60.78200000000007,2023-12-26,False
D002964,E170_2644,DIS32-403,52.226400000000055,2023-12-26,False
D003905,B767_1817,REA0-463,40.422399999999975,2023-12-26,False
D004796,CRJ700_5378,SYS24-205,47.29999999999994,2023-12-26,False
D008515,A380_4821,POR34-556,44.383199999999945,2023-12-26,False
D004747,E175_2361,CAP39-355,32.66560000000001,2023-12-26,False
D004168,A321_2867,SYS36-233,52.86840000000004,2023-12-26,False
D000354,A321_2784,DIS32-485,35.832800000000006,2023-12-26,False
D006332,E175_6229,SYS9-647,34.494799999999955,2023-12-26,False
D005699,E175_0488,SYS31-050,44.83440000000004,2023-12-26,False
D004464,CRJ900_5773,SYS2-364,53.95399999999994,2023-12-26,False
D004631,E175_4749,VOL17-292,43.83599999999994,2023-12-26,False
D004567,A320_3073,SYS31-236,42.998,2023-12-26,False
D007347,None_2407,SPO16-097,45.067999999999984,2023-12-26,False
D000214,A340_2275,SPO16-645,34.53960000000004,2023-12-26,False
D004849,B747_0302,SIE27-424,53.72519999999993,2023-12-26,False
D008839,A320_2211,ANT25-129,48.27359999999993,2023-12-26,False
D005020,B767_1817,POR34-315,40.25199999999997,2023-12-26,False
D006544,A340_2275,SYS36-187,60.8252,2023-12-26,False
D007194,B777_3756,VOL17-491,50.15680000000008,2023-12-26,False
D009312,B767_3223,SYS37-613,41.177199999999935,2023-12-26,False
D009181,B777_3467,DET29-636,42.0556,2023-12-26,False
D007853,A320_0063,SYS35-448,43.006800000000005,2023-12-26,False
