ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V00553167,B737_6821,2023-12-22 14:13:00,6.9,"{'temp': '-40°C', 'pressure': '1053 hPa', 'vibrations': '4.040906057500231 m/s²'}",0
V02422221,A340_2275,2023-12-22 14:13:00,2.2,"{'temp': '-25°C', 'pressure': '905 hPa', 'vibrations': '3.2719185539162794 m/s²'}",2
V03944210,A380_5479,2023-12-22 14:13:00,10.6,"{'temp': '48°C', 'pressure': '1050 hPa', 'vibrations': '0.4271651169305585 m/s²'}",1
V07253014,B747_0620,2023-12-22 14:13:00,8.5,"{'temp': '8°C', 'pressure': '1088 hPa', 'vibrations': '1.297151428896703 m/s²'}",0
V02406180,CRJ700_2805,2023-12-22 14:13:00,5.3,"{'temp': '-4°C', 'pressure': '1077 hPa', 'vibrations': '3.0185593598375333 m/s²'}",0
V04386321,A330_5589,2023-12-22 14:13:00,10.7,"{'temp': '28°C', 'pressure': '1078 hPa', 'vibrations': '0.009026240748697956 m/s²'}",1
V08663934,A380_3051,2023-12-22 14:13:00,11.6,"{'temp': '-25°C', 'pressure': '932 hPa', 'vibrations': '0.2580154077139002 m/s²'}",1
V01084157,E175_5780,2023-12-22 14:13:00,0.8,"{'temp': '-27°C', 'pressure': '979 hPa', 'vibrations': '4.942666604891784 m/s²'}",0
V04367095,None_6155,2023-12-22 14:13:00,6.1,"{'temp': '-23°C', 'pressure': '1096 hPa', 'vibrations': '0.1743213530806237 m/s²'}",0
V09977280,E170_4894,2023-12-22 14:13:00,5.2,"{'temp': '-15°C', 'pressure': '978 hPa', 'vibrations': '3.8513886992920767 m/s²'}",0
V01220232,None_0075,2023-12-22 14:13:00,10.1,"{'temp': '22°C', 'pressure': '937 hPa', 'vibrations': '4.565019535917733 m/s²'}",1
V00792806,A330_5024,2023-12-22 14:13:00,11.8,"{'temp': '2°C', 'pressure': '1009 hPa', 'vibrations': '0.6759795225143689 m/s²'}",2
V01785208,A330_5384,2023-12-22 14:13:00,4.1,"{'temp': '-31°C', 'pressure': '1029 hPa', 'vibrations': '0.6534656832307439 m/s²'}",0
V07027685,A380_2873,2023-12-22 14:13:00,4.3,"{'temp': '12°C', 'pressure': '927 hPa', 'vibrations': '3.674707623114057 m/s²'}",0
V00669380,A320_4603,2023-12-22 14:13:00,9.3,"{'temp': '-14°C', 'pressure': '941 hPa', 'vibrations': '4.031406729955352 m/s²'}",0
V05801155,B767_0601,2023-12-22 14:13:00,11.5,"{'temp': '-14°C', 'pressure': '964 hPa', 'vibrations': '4.303010120475545 m/s²'}",1
V05492014,B757_1659,2023-12-22 14:13:00,9.6,"{'temp': '20°C', 'pressure': '986 hPa', 'vibrations': '4.500715680442158 m/s²'}",1
V02723842,B747_6830,2023-12-22 14:13:00,8.7,"{'temp': '30°C', 'pressure': '1035 hPa', 'vibrations': '2.141128465774959 m/s²'}",0
V01034894,B767_1817,2023-12-22 14:13:00,3.2,"{'temp': '20°C', 'pressure': '1029 hPa', 'vibrations': '4.345494285068835 m/s²'}",2
V02588233,None_5980,2023-12-22 14:13:00,5.7,"{'temp': '17°C', 'pressure': '930 hPa', 'vibrations': '1.7980803774714627 m/s²'}",0
V04717715,CRJ900_0271,2023-12-22 14:13:00,9.2,"{'temp': '31°C', 'pressure': '916 hPa', 'vibrations': '0.6973574697881529 m/s²'}",0
V07656438,A350_5005,2023-12-22 14:13:00,4.4,"{'temp': '45°C', 'pressure': '1040 hPa', 'vibrations': '4.45042134494464 m/s²'}",0
V06651223,B767_2487,2023-12-22 14:13:00,1.5,"{'temp': '18°C', 'pressure': '1082 hPa', 'vibrations': '2.3397801008475234 m/s²'}",0
V06414478,E170_4877,2023-12-22 14:13:00,5.4,"{'temp': '-38°C', 'pressure': '929 hPa', 'vibrations': '1.4323187359442353 m/s²'}",0
V03669707,B737_2009,2023-12-22 14:13:00,1.7,"{'temp': '21°C', 'pressure': '972 hPa', 'vibrations': '0.9292783805919058 m/s²'}",0
V00592362,A320_0063,2023-12-22 14:13:00,1.8,"{'temp': '16°C', 'pressure': '982 hPa', 'vibrations': '3.5909176271357772 m/s²'}",0
V03087027,E175_3294,2023-12-22 14:13:00,7.9,"{'temp': '47°C', 'pressure': '1075 hPa', 'vibrations': '1.3786781084380273 m/s²'}",0
V00599015,E175_4239,2023-12-22 14:13:00,11.3,"{'temp': '-13°C', 'pressure': '1046 hPa', 'vibrations': '1.4242535407291594 m/s²'}",1
V09565235,B757_2709,2023-12-22 14:13:00,9.0,"{'temp': '-4°C', 'pressure': '937 hPa', 'vibrations': '3.515151593674515 m/s²'}",2
V05150925,None_6838,2023-12-22 14:13:00,3.4,"{'temp': '-3°C', 'pressure': '1004 hPa', 'vibrations': '1.8474434794910122 m/s²'}",0
