ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V03656986,CRJ900_5773,2023-11-07 14:13:00,3.9,"{'temp': '15°C', 'pressure': '1039 hPa', 'vibrations': '2.730396774346038 m/s²'}",0
V07726467,CRJ900_0428,2023-11-07 14:13:00,7.7,"{'temp': '-32°C', 'pressure': '1092 hPa', 'vibrations': '3.0279274400557443 m/s²'}",0
V04561239,B777_2551,2023-11-07 14:13:00,5.5,"{'temp': '-32°C', 'pressure': '1099 hPa', 'vibrations': '3.9766260264432503 m/s²'}",0
V03775756,None_5980,2023-11-07 14:13:00,9.1,"{'temp': '30°C', 'pressure': '1020 hPa', 'vibrations': '0.7750520189562582 m/s²'}",0
V07191233,A321_3449,2023-11-07 14:13:00,10.0,"{'temp': '-50°C', 'pressure': '913 hPa', 'vibrations': '1.0102401727542416 m/s²'}",1
V01725618,B777_2343,2023-11-07 14:13:00,2.9,"{'temp': '-34°C', 'pressure': '1024 hPa', 'vibrations': '3.0342424391287732 m/s²'}",0
V02108201,B747_2822,2023-11-07 14:13:00,8.7,"{'temp': '40°C', 'pressure': '1082 hPa', 'vibrations': '0.8242231815893886 m/s²'}",0
V01457745,A321_0613,2023-11-07 14:13:00,6.1,"{'temp': '-32°C', 'pressure': '930 hPa', 'vibrations': '4.0007198084823195 m/s²'}",0
V06388021,E170_4877,2023-11-07 14:13:00,5.4,"{'temp': '43°C', 'pressure': '1077 hPa', 'vibrations': '3.334613795670469 m/s²'}",0
V05974346,B737_0274,2023-11-07 14:13:00,2.6,"{'temp': '37°C', 'pressure': '1088 hPa', 'vibrations': '1.7503009920341717 m/s²'}",2
V02595522,B757_0577,2023-11-07 14:13:00,10.5,"{'temp': '-6°C', 'pressure': '905 hPa', 'vibrations': '3.798271607399152 m/s²'}",1
V07962640,B757_0500,2023-11-07 14:13:00,4.0,"{'temp': '-35°C', 'pressure': '989 hPa', 'vibrations': '2.1407531787444785 m/s²'}",0
