ref_deg,linked_aero,compo_concerned,usure_cumulée,measure_day,need_replacement
D002901,E175_0583,SIE27-249,36.37115000000001,2023-11-27,False
D000629,E175_0488,SYS31-190,24.4875,2023-11-27,False
D009035,A320_6364,AIL5-435,29.99985,2023-11-27,False
D003843,B767_1623,VOL17-121,28.98175,2023-11-27,False
D008108,B767_3223,VOL17-244,21.848600000000022,2023-11-27,False
D001451,None_5883,RAD11-241,34.94375000000001,2023-11-27,False
D007885,A330_1938,VOL18-567,25.93124999999997,2023-11-27,False
D009934,None_5579,TRA21-011,31.68685000000003,2023-11-27,False
D009881,A340_2112,CAM38-674,29.65515,2023-11-27,False
D002367,None_3415,AIL5-310,29.1221,2023-11-27,False
D001822,CRJ900_1184,DET29-398,28.33315,2023-11-27,False
D000498,A330_1129,EQU23-620,39.35745000000003,2023-11-27,False
D001130,E175_0488,ANT25-147,25.153349999999968,2023-11-27,False
D002664,CRJ700_5378,SYS24-205,32.25625000000002,2023-11-27,False
D008574,A320_6028,CAP39-308,36.94649999999999,2023-11-27,False
D009800,CRJ900_5737,SYS33-040,31.844050000000024,2023-11-27,False
D004922,A380_4355,REA0-454,28.76545,2023-11-27,False
D003094,A320_6028,SIE27-456,19.19695,2023-11-27,False
D000740,A380_4959,TRA21-037,30.0683,2023-11-27,False
D003078,B767_5851,VOL17-621,44.64225,2023-11-27,False
D006896,B737_6470,SYS10-377,32.35255,2023-11-27,False
D008575,B777_2551,TRA19-256,32.80035000000003,2023-11-27,False
D001219,A330_5589,AIL6-565,31.48499999999997,2023-11-27,False
D005087,CRJ900_5773,EMP4-110,32.34895,2023-11-27,False
D001745,A380_5954,CAP39-629,36.45605,2023-11-27,False
D001246,B777_1363,POR34-676,27.26825000000003,2023-11-27,False
D000463,None_5883,SYS33-528,30.96594999999997,2023-11-27,False
D004043,B767_2487,TRA19-229,22.003,2023-11-27,False
D008780,E170_4298,ECL30-198,38.38005000000001,2023-11-27,False
D009011,A330_5024,AIL6-147,27.07975,2023-11-27,False
D001891,A350_1948,AUT8-346,29.92069999999998,2023-11-27,False
D001083,CRJ900_5158,SYS2-093,27.16559999999997,2023-11-27,False
D008590,A340_2833,SYS7-438,26.093449999999983,2023-11-27,False
D005218,CRJ900_5773,POR34-587,26.49359999999997,2023-11-27,False
D009335,E170_4304,SIE27-110,39.241699999999966,2023-11-27,False
D006867,A320_6052,VOL17-148,59.971699999999856,2023-11-27,False
D004271,B737_6821,ORD12-059,32.259100000000025,2023-11-27,False
D004744,E175_4749,REA1-182,26.848099999999988,2023-11-27,False
D002728,B767_6273,SYS36-589,25.4658,2023-11-27,False
D008509,B747_1933,EQU23-388,21.686149999999994,2023-11-27,False
D008929,E170_4304,ECL30-154,23.054349999999985,2023-11-27,False
D000194,A320_6364,AIL5-565,31.519850000000066,2023-11-27,False
D009907,None_3322,SYS31-392,26.56284999999997,2023-11-27,False
D002503,B757_0577,TRA20-501,22.6817,2023-11-27,False
D005197,B757_0577,SYS9-429,21.72625000000001,2023-11-27,False
D003445,A321_4814,SYS28-650,34.41340000000001,2023-11-27,False
D006027,CRJ900_6200,SYS24-621,33.324750000000016,2023-11-27,False
D008209,B767_4418,SIE26-490,24.099100000000018,2023-11-27,False
D002968,B757_1013,TRA21-338,40.68825000000003,2023-11-27,False
D007655,None_5692,POR34-171,28.4698,2023-11-27,False
D005805,B777_2551,GEN13-632,32.27800000000002,2023-11-27,False
D000378,B747_1933,SYS2-481,29.704549999999976,2023-11-27,False
D009469,None_0163,SYS35-487,26.336850000000037,2023-11-27,False
D006882,A330_5923,SYS2-512,27.12440000000002,2023-11-27,False
D000513,E170_5314,TRA21-083,29.0865,2023-11-27,False
D005375,B767_2195,SIE26-668,22.05170000000001,2023-11-27,False
D000125,CRJ700_6475,ORD12-075,27.63659999999997,2023-11-27,False
D004413,A321_0497,EMP4-249,32.29290000000005,2023-11-27,False
D001061,A350_5575,TRA19-286,29.80689999999997,2023-11-27,False
D008168,None_0118,SYS7-420,33.56255,2023-11-27,False
D000148,CRJ700_5389,EQU23-016,31.050899999999977,2023-11-27,False
D001998,A320_3792,SYS14-273,28.93625,2023-11-27,False
D000887,B737_2009,SYS2-593,36.8483,2023-11-27,False
D007050,CRJ900_4486,SYS31-644,32.08760000000003,2023-11-27,False
D003973,CRJ900_6725,SYS37-690,12.67275,2023-11-27,False
D003655,CRJ700_5378,DIS32-168,33.44395000000004,2023-11-27,False
D002367,E175_5780,SYS9-586,36.62879999999996,2023-11-27,False
D008399,CRJ900_4486,DET29-052,35.08364999999997,2023-11-27,False
D005429,B757_0284,REA1-237,23.23895000000001,2023-11-27,False
