ref_deg,linked_aero,compo_concerned,usure_cumulée,measure_day,need_replacement
D005885,A350_1201,C476,12.22,2023-06-10,False
D000346,A350_4306,C176,35.75,2023-06-18,False
D004387,E170_1081,C072,25.36,2023-11-20,False
D008635,B737_6867,C455,1.7,2023-05-30,False
D005197,B767_0318,C496,132.85,2023-09-23,True
D009985,A330_2352,C040,1.18,2023-06-22,False
D005361,B777_5303,C658,26.97,2023-04-03,False
D004447,A330_0262,C007,47.59,2023-11-20,False
D005475,A321_4629,C652,29.34,2023-10-31,False
D009407,A330_4096,C140,31.94,2023-10-30,False
D006525,A320_6319,C600,4.03,2023-11-01,False
D009432,B757_6748,C628,16.61,2023-08-27,False
D009605,B777_5293,C521,7.89,2023-11-13,False
D001110,A330_4265,C046,10.33,2023-06-08,False
D006826,None_0122,C364,26.07,2023-08-30,False
D006863,A330_1256,C474,1.0,2023-07-04,False
D000429,A320_0930,C297,38.85,2023-11-27,False
D000572,B747_5628,C133,1.26,2023-09-01,False
D003753,B767_2996,C566,6.54,2023-11-11,False
D001703,A340_1180,C039,26.43,2023-11-17,False
D001110,B737_6517,C596,2.07,2023-07-16,False
D007788,A350_5769,C554,5.34,2023-06-15,False
D001413,B747_2795,C580,18.16,2023-08-22,False
D006900,None_0844,C372,8.71,2023-09-11,False
D007187,A320_3107,C507,51.37,2023-04-26,False
D007370,B757_4046,C700,0.19,2023-10-09,False
D005602,None_3169,C571,14.0,2023-10-15,False
D009063,B767_3162,C325,14.42,2023-06-23,False
D003680,CRJ700_5312,C375,23.31,2023-10-19,False
D002810,B737_3541,C051,7.76,2023-07-18,False
D004675,CRJ700_6057,C669,34.9,2023-11-15,False
D008990,None_6560,C149,28.3,2023-11-20,False
D004699,A320_4610,C533,3.66,2023-11-17,False
D002617,A321_4629,C222,45.34,2023-08-29,False
D007117,B757_2030,C382,17.2,2023-10-02,False
D002535,B767_4309,C046,12.91,2023-10-20,False
D007930,B757_4046,C299,19.67,2023-05-14,False
D004665,B777_2375,C145,4.0,2023-07-09,False
D007758,B777_5067,C581,23.14,2023-07-28,False
